Unnamed: 0,MAGAID,MatchMAGAID
231,3b105800155a4364204af8ababc83cfea09fa33fdaf53f31e13b6a51adde22ba,ea163d0f9c3e7e4d3a5d0c659a5e972691e5600923675d253a22c35974983359
234,05be8dd2eebb32a73dac5641e06e1e64b864ca4691909e8375055ebbf0972996,66ffb4a5a158c649f32743f8d6bb50850118ec8937d4cb819b7d469ec8f3ec3b
237,52a06fcd00a52aec99313d39c046eb22e1cca40efcbf0283efe2e78d832ee92f,6aac6fe4f8209e9ce8916bd931c6689f0a7501833992e1c4bd823fd6b41baf33
244,9ed847311c056af3fd99ef705b279c51cee92a7f8f9eaac6dfc8785c11397ede,a37be374143890c9d820120f58490be47f7c9f3c246786b9efe8a939848f29a6
245,be45c0accf88a2d591815efec6207b4e15c5cc1e299e04484eb56d8ea9e4ca22,464de74368ff043965bbbbde562c05bedef4d8239702c5d60c87786564eda168
247,5968ac17e70661575ef331fadf6a2e696df813a12c7bd7c5232762e581c831ab,9df905b19f3a1f88331626e324780501cf777cf1cda9bc5b5b77513cdb3f50b5
248,5968ac17e70661575ef331fadf6a2e696df813a12c7bd7c5232762e581c831ab,da042010acb3ca93727d975df352723d7fcb516211ca8fa1fbcc28db4b76909a
254,434032f7ebd9a1f3c4527220c37797780731445e289e7ad9be3748a0142b8623,501a651448e590fb0fc21cd37f5b68b43593bc5ffee58a35533a18c4ae7bd8ea
255,075f38374bb90538aae110e93f6ec8733a9f5bcbecd54447eef7e847210ff964,09b7bde7004e712c11da21f42195709e354075a98ae89da9a5d5f4365b8e6d62
256,98fab29c15342cca69c8fe89f38dd177487bb67536d7d6ab40611e87627c8cc5,8bc6c606a78cb8d872cd21c82bcb34b9fee176a27d279195bf218035b669c9f4
